name,weight
[Al(OH)4]-,95
Al,27
Al(OH)3,78
Al2O3,102
Al3+,27
Br2,160
C,12
CaC2,64
CaCl2,111
CaO,56
CF4,88
Cl,35.5
Cl2,71
CO,28
CO2,44
F2,38
Fe,56
Fe2O3,160
FeCl2,127
H+,1
H2,2
H2O,18
HCl,36.5
HF,20
HNO3,63
HOCl,52.5
I2,254
K2CO3,138
KCl,74.5
Mg,24
Mg(OH)2,58
Mg3N2,100
MgCl2,95
MgH2,26
MgO,40
N2,28
N2O,44
Na,23
Na2O,62
Na2O2,78
Na3AlF6,210
NaBr,103
NaCl,58.5
NaF,42
NaI,150
NaOH,40
NH3,17
NH4NO2,64
NH4NO3,80
NO2,46
NO3F,81
O2,32
O3,48
OF2,54
OH-,17
Si,28
Si3N4,140
SiBr4,348
SiCl4,170
SiF4,104
SiI4,536
SiN,42
SiO2,60
Xe,131
XeF2,169
None,0
